,rho,beta0,beta1,beta2,phi,sigma,Ifit,IUQ,nRuns,region
7-36,0.8964499665001578,297.6262269419275,0.3739992454718021,0.5169767345062839,0.21752495245613243,0.5344700820145779,1.0509637253714121,1.0697672929083537,7,ARP
7-37,0.7395574829276966,296.4013018722488,-0.05581229264902286,0.8002825557323546,0.23960347092173861,0.338492761687659,1.052700975219109,1.0786556126338798,7,SAS
7-38,0.8856661201870168,299.12655992395366,0.1750546931041562,0.381537186714956,0.01909286298428024,0.27883722886428297,1.050400901324234,1.1139854424961526,7,SEA
7-39,0.7975980788322768,299.0022579404608,0.14397401802594637,0.4349163550353346,0.0007282767860112904,0.30387998688879575,1.0492781498802923,1.045132508078676,7,NAU
7-40,0.009999999999999995,295.62787199383405,0.27798499519843134,0.5099176825012053,0.2263870834012916,0.7082186117653843,1.0380681900947297,1.0395856864885797,7,CAU
7-41,0.848478846808262,292.32088773283374,-0.14014217967787995,0.8755404790891992,0.24930850784003095,0.5657482231759419,1.046114608800529,1.041509076866066,7,EAU
7-42,0.9842761617236456,287.87602858189763,0.17216949888002042,0.7664632975826701,0.27459617160403194,0.2349925558519979,1.0453995876186608,1.0524779388633922,7,SAU
7-43,0.9757677154452119,287.48461924508234,0.1595838076735522,0.6069839028125369,0.36082492544151934,0.19960885743627266,1.0408912496246046,0.9685678253877118,7,NZ
7-44,0.9708674625998432,237.5195999191435,-0.011210919451585175,1.275620060454314,0.16554470181786982,0.37416471462995843,1.0403703653581453,0.9603958487675941,7,EAN
7-45,0.9596684796699884,250.43848994058382,-0.19946329355537534,1.3641855770516944,0.3009440821771784,0.6703138333573366,1.028489835300349,0.951040070828822,7,WAN
7-46,0.99,253.88822529289337,2.8062351433825894,-1.2792404632988623,0.4154270718864467,0.7449864191207478,1.0897474452226523,0.9684604431377972,7,ARO
7-47,0.7753459942063576,292.8900694647962,0.27325832563198027,0.30551923183334523,0.33935175969307874,0.14266922617081793,1.103044807788517,0.9880409624214178,7,NPO
7-48,0.7560694485645644,299.2382929068661,0.2119465058522891,0.3163734788972582,0.23240423153394119,0.5641303748145378,1.0501239163395406,1.1479478202482967,7,EPO
7-49,0.9416110721495815,291.9572917438098,-0.03567619197959228,0.5164711901238683,0.47278350621686854,0.06853864198540341,1.0576833796555443,0.9701238168361745,7,SPO
7-50,0.009999999999999995,292.64835499919775,0.2819617145896674,0.12080360960865187,0.3705617858963653,0.15375183132474146,1.0935166789054351,1.0981924734599047,7,NAO
7-51,0.009999999999999995,298.72060396266346,0.12045764550958896,0.38018124906746176,0.19739060496514227,0.19823066962834227,1.0742253010470464,1.008694208031125,7,EAO
7-52,0.9505643700477728,291.673602690063,0.023380172643620377,0.4859355968564092,0.258412698354399,0.10751690232709121,1.0329682414754704,0.9462841608163808,7,SAO
7-53,0.009999999999999995,298.87931757705917,0.26282669232969763,0.29003084073484275,0.14216384859219594,0.3074218864046789,1.060805992680542,1.0410108706253558,7,ARS
7-54,0.8925403580713823,299.9288572543787,0.09546774811291238,0.44579892973579643,0.15642374268959572,0.250353863462868,1.0515574417826985,1.0525592747978127,7,BOB
7-55,0.7754379086255307,300.1033598843482,0.1461359061078251,0.38489864112583844,0.05593639937792733,0.26497242818068895,1.043559827122496,1.062680275628473,7,EIO
7-56,0.9877966428012696,294.9480010527374,0.269787023438234,0.39816376667494496,0.29682515380112456,0.15103164581324033,1.0564303905984624,1.0467262139248643,7,SIO
7-57,0.9683182757554585,276.46456663181453,0.068480476936341,0.6189520618590522,0.5128120720948184,0.08445451212479264,1.0314067489981622,0.9345187821307052,7,SOO
8-0,0.99,257.59513529999435,1.357419656763517,-0.6179020120175909,0.373029165714838,0.6011372954905692,1.0694659605469454,0.9860127913077725,8,GIC
8-1,0.009999999999999995,266.5350232281937,0.23210046210332402,1.03120864225649,0.23549324266999114,0.7815826899062263,1.0503538296313883,0.9428879371651648,8,NWN
8-2,0.8513149686401276,262.42400016435613,0.3465961198497399,1.0920060028553877,0.14604963277821595,0.6307299106951387,1.052802981280341,1.074972860133965,8,NEN
